date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:02:24	95988/95988	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:53%20GMT	https://shi-nua.com/img/small/15.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/15.jpg	(from https://shi-nua.com/)
03:02:25	321549/321549	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:12%20GMT	https://shi-nua.com/img/big/15.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/15.jpg	(from https://shi-nua.com/)
03:02:25	133107/133107	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:54%20GMT	https://shi-nua.com/img/small/16.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/16.jpg	(from https://shi-nua.com/)
03:02:25	478672/478672	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:13%20GMT	https://shi-nua.com/img/big/16.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/16.jpg	(from https://shi-nua.com/)
03:02:25	143096/143096	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:54%20GMT	https://shi-nua.com/img/small/17.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/17.jpg	(from https://shi-nua.com/)
03:02:26	566711/566711	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:13%20GMT	https://shi-nua.com/img/big/17.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/17.jpg	(from https://shi-nua.com/)
03:02:26	300846/300846	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:13%20GMT	https://shi-nua.com/img/big/18.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/18.jpg	(from https://shi-nua.com/)
03:02:26	109968/109968	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:54%20GMT	https://shi-nua.com/img/small/18.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/18.jpg	(from https://shi-nua.com/)
03:02:27	90258/90258	---M--	200	added ('OK')	image/jpeg	date:Sat,%2029%20Jan%202022%2014:58:54%20GMT	https://shi-nua.com/img/small/19.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/small/19.jpg	(from https://shi-nua.com/)
03:02:27	466150/466150	---M--	200	added ('OK')	image/jpeg	date:Mon,%2011%20Apr%202022%2015:52:13%20GMT	https://shi-nua.com/img/big/19.jpg	C:/Users/Alberth/Desktop/RESTAURAN/shi-nua.com/img/big/19.jpg	(from https://shi-nua.com/)
